id,name,description,specifications,price,activity
P101,智能降噪耳机Pro,"主动降噪深度达45dB，支持空间音频和头部追踪，提供影院级沉浸感。单次续航8小时，配合充电盒可达36小时。",黑色/银色,1499元,新品上市9折
P102,超轻薄笔记本电脑,"机身仅重1.2kg，搭载最新一代低功耗处理器。14英寸2.8K超清屏，100% sRGB色域，视觉效果出众。",16GB+1TB,6999元,教育优惠减500
P103,户外冲锋衣,"采用Gore-Tex三层压胶防水透气面料，全方位防风防雨，同时保持内部干爽。腋下设有透气拉链。",男款/女款,899元,满800减100
P104,人体工学办公椅,"S型仿生椅背，动态贴合脊柱。配备可升降旋转的3D扶手和自适应腰靠，有效缓解久坐疲劳。",黑色网布,799元,企业团购8折
P105,高清网络摄像头,"1080P全高清分辨率，内置双降噪麦克风，视频通话清晰流畅。配备物理隐私遮挡盖，保护您的隐私安全。",USB即插即用,299元,无
P106,便携式咖啡机,"小巧便携，适合旅行和办公室使用。15Bar高压萃取，油脂丰富。兼容Nespresso及星巴克等多种咖啡胶囊。",白色/黑色,399元,赠送10颗胶囊
P107,电动牙刷,"采用磁悬浮声波震动技术，每分钟震动31000次，高效清洁牙菌斑。支持多种清洁模式，如清洁、美白、敏感。",粉色/蓝色,199元,买一送一刷头
P108,多功能料理机,"集榨汁、搅拌、研磨、绞肉于一体，配备多种刀头和杯体。8叶破壁刀，轻松制作冰沙、果汁、豆浆。",银色,599元,满500减50
P109,智能运动手环,"全天候血氧饱和度和心率监测，支持超过100种运动模式。AMOLED彩屏显示，续航长达14天。",黑色/橙色,249元,无
P110,VR一体机,"搭载高通骁龙XR2芯片，配备4K高清屏幕和Pancake光学透镜，视场角达105度，带来无与伦比的虚拟现实体验。",128GB存储,2999元,分期免息
P111,无线充电宝,"10000mAh大容量，自带Type-C和Lightning双线，同时支持Qi无线充电，可同时为三台设备充电。",黑色,159元,两件9折
P112,桌面空气净化器,"采用H13级HEPA复合滤网，能有效过滤PM2.5、花粉、宠物毛发等过敏原。小巧设计，适合卧室或办公室桌面。",白色,349元,无
P113,筋膜枪,"高频无刷电机，提供高达3200转/分钟的冲击力，深层放松肌肉。配备4个专业按摩头，满足不同部位需求。",4个按摩头,499元,限时直降100
P114,智能猫砂盆,"自动感应猫咪如厕，完成后自动清理结团并密封存储，APP远程控制，有效隔绝异味，解放您的双手。",白色,999元,宠物节特价
P115,高清无人机,"配备三轴机械增稳云台和4K航拍摄像头，支持智能跟拍、轨迹飞行等多种模式。续航长达30分钟，飞行稳定。",续航30分钟,3999元,赠送额外电池
P116,电竞显示器,"27英寸Fast-IPS面板，2K分辨率，165Hz高刷新率，1ms响应时间。支持HDR400，游戏画面更流畅、更逼真。",黑色,1899元,晒单返50元
P117,智能门锁,"集指纹、密码、NFC卡、蓝牙、应急钥匙等多种开锁方式于一体。C级锁芯，防小黑盒破解，安全可靠。",黑色,1299元,包安装
P118,便携投影仪,"口红大小，方便携带。支持1080P解码播放，内置电池可连续播放2小时电影，支持手机无线投屏。",内置电池,999元,无
P119,车载手机支架,"利用重力感应原理，手机放入后自动夹紧，取出即松开，单手操作方便快捷。适用于大多数车型出风口。",黑色,49元,两件8折
P120,氮化镓充电器,"采用最新GaN技术，体积小功率大。100W总功率，配备2C1A三个接口，可同时为笔记本、手机等设备快速充电。",白色,199元,无